,ENGAGED_df6,prob,prob_d
33424,0,0.15655381477563196,0
42997,0,0.05943981111107109,0
80343,0,0.17845723394242777,0
23228,0,0.1265198897095806,0
13722,1,0.7132680894996479,1
48640,0,0.12702276796844622,0
50339,1,0.13736575547002183,0
12897,0,0.10253207213700113,0
80545,0,0.07645169144090615,0
24406,0,0.17754827950906985,0
12057,0,0.2128049489617693,0
4853,1,0.290360406283454,1
4084,0,0.06942565238105641,0
9021,0,0.07128591093628733,0
66710,0,0.17015721134556439,0
73649,0,0.048277564201628424,0
1161,0,0.12198838182364681,0
5795,0,0.14259988583565256,0
29715,0,0.15879349084578823,0
50455,0,0.09348568567792148,0
61407,0,0.07066491630154746,0
8178,0,0.11218009091686379,0
14366,0,0.09510412039454598,0
41843,1,0.8119632359087244,1
45018,0,0.12147313061932943,0
15756,0,0.1455838257045174,0
66808,0,0.060886361399690066,0
52251,0,0.11429993577520309,0
70865,0,0.0567989618328439,0
15440,1,0.13032441971637143,0
29123,0,0.13520573647039075,0
67195,1,0.7238872971306455,1
81320,1,0.08799554289344039,0
42712,1,0.9953535470322498,1
28469,1,0.4310482185720285,1
39716,0,0.10332983743082665,0
50767,0,0.1146845876350204,0
29781,0,0.09425910935238249,0
26904,1,0.9999972500059239,1
22846,0,0.10363575747123778,0
5351,0,0.09345764774111605,0
20841,0,0.10587564852204534,0
6450,1,0.7516683788568003,1
79316,0,0.06426561848086121,0
7649,0,0.10874438116256313,0
16636,0,0.20213913365090955,0
43023,1,0.12835919835434276,0
76479,0,0.14876899950893765,0
40165,0,0.07284848696758277,0
15574,0,0.16437847015388277,0
10027,0,0.15417744184625995,0
59293,1,0.09048503900892746,0
62754,0,0.14073582591044403,0
71587,0,0.12208749253891231,0
34647,1,0.08234120524515165,0
14775,1,0.2066747081857816,0
29756,1,0.9324375185993029,1
73948,0,0.12656784117525346,0
51197,0,0.05923481534479201,0
52165,0,0.1382324350558741,0
53737,0,0.08748236091955668,0
106,1,0.6708412133583043,1
22639,0,0.08251303543848847,0
62550,0,0.14129393694612882,0
2330,0,0.07134412603486712,0
30006,1,0.9304062491215517,1
58724,1,0.9148564385777539,1
18467,1,0.11102136815426535,0
58426,1,0.16586584047618097,0
57729,0,0.06285756817040739,0
79377,0,0.13201714188169503,0
82495,0,0.15326685237440213,0
1833,0,0.1718217856662011,0
10392,0,0.111431190256343,0
71024,0,0.10550727288128414,0
8052,1,0.08785928712931029,0
11120,0,0.0605543301932373,0
51363,0,0.13143507013383332,0
50328,0,0.11710430653969983,0
29976,0,0.10143012133304524,0
61782,1,0.16218590213227718,0
28913,0,0.13509462698943683,0
29882,0,0.17157927424391992,0
32306,1,0.7751498302113397,1
3746,1,0.15431944190145944,0
64079,0,0.14615509629402562,0
60863,0,0.08268000898051557,0
11273,0,0.10610609546889198,0
79325,0,0.1336791956479562,0
31828,0,0.08636895575091984,0
54025,1,0.30725476907562194,1
64157,0,0.05954437323168298,0
16297,0,0.11860638071790852,0
34229,0,0.08120637827489023,0
29450,0,0.12989742454178432,0
39657,0,0.21082571553288337,0
47615,0,0.12180298679373001,0
4762,1,0.07226939331744701,0
56280,0,0.11300839678102763,0
38100,0,0.10329952213941275,0
16528,1,0.1589333868217847,0
67897,0,0.15981884775414276,0
68401,0,0.1500788660408428,0
50254,0,0.08290071626972231,0
56086,0,0.06971716294600395,0
67981,1,0.9999999467391802,1
2929,1,0.7279191778204851,1
1416,0,0.09019553168242472,0
44381,0,0.08317473475547518,0
40162,0,0.14468431466549472,0
6350,0,0.15762319764782864,0
16923,0,0.07518673331616742,0
76900,0,0.10717907480178948,0
31439,0,0.1767695337312816,0
13784,0,0.09929014550336984,0
36760,0,0.16451121538733754,0
71267,1,0.7807123670097396,1
41944,1,0.07910354269192935,0
6525,0,0.10343408538716894,0
34129,0,0.14651631763119619,0
62705,0,0.06189470300728485,0
80013,0,0.19373660507656398,0
33785,0,0.1315955815542496,0
76736,1,0.9319001682209884,1
1226,1,0.10663862801502795,0
10983,1,0.19661042343893834,0
